Date, Population, Population change, Percent change
1-Jul-00, 76094000
1-Jul-01, 77584000,  1490000 ,1.94
1-Jul-02, 79163000,  1579000 ,2.01
1-Jul-03, 80632000,  1469000 ,1.84
1-Jul-04, 82166000 , 1534000 ,1.88
1-Jul-05, 83822000 , 1656000 ,2
1-Jul-06, 85450000 , 1628000 ,1.92
1-Jul-07, 87008000 , 1558000 ,1.81
1-Jul-08, 88710000 , 1702000 ,1.94
1-Jul-09, 90490000 , 1780000 ,1.99
1-Jul-10, 92407000 , 1917000 ,2.1
1-Jul-11, 93863000 , 1456000 ,1.56
1-Jul-12, 95335000 , 1472000 ,1.56
1-Jul-13, 97225000 , 1890000 ,1.96
1-Jul-14, 99111000 , 1886000 ,1.92
1-Jul-15, 100546000 , 1435000 ,1.44
1-Jul-16, 101961000 , 1415000 ,1.4
1-Jul-17, 103268000 , 1307000 ,1.27
1-Jul-18, 103208000 , -60000 ,-0.06
1-Jul-19, 104514000 , 1306000 ,1.26
1-Jul-20, 106461000 , 1947000 ,1.85
1-Jul-21, 108538000 , 2077000 ,1.93
1-Jul-22, 110049000 , 1511000 ,1.38
1-Jul-23, 111947000 , 1898000 ,1.71
1-Jul-24, 114109000 , 2162000 ,1.91
1-Jul-25, 115829000 , 1720000 ,1.5
1-Jul-26, 117397000 , 1568000 ,1.34
1-Jul-27, 119035000 , 1638000 ,1.39
1-Jul-28, 120509000 , 1474000 ,1.23
1-Jul-29, 121767000 , 1258000 ,1.04
1-Jul-30, 123076741 , 1309741 ,1.07
1-Jul-31, 124039648 ,  962907 ,0.78
1-Jul-32, 124840471 ,  800823 ,0.64
1-Jul-33, 125578763 ,  738292 ,0.59
1-Jul-34, 126373773 ,  795010 ,0.63
1-Jul-35, 127250232 ,  876459 ,0.69
1-Jul-36, 128053180 ,  802948 ,0.63
1-Jul-37, 128824829 ,  771649 ,0.6
1-Jul-38, 129824939 , 1000110 ,0.77
1-Jul-39, 130879718 , 1054779 ,0.81
1-Jul-40, 132122446 , 1242728 ,0.95
1-Jul-41, 133402471 , 1280025 ,0.96
1-Jul-42, 134859553 , 1457082 ,1.09
1-Jul-43, 136739353 , 1879800 ,1.38
1-Jul-44, 138397345 , 1657992 ,1.21
1-Jul-45, 139928165 , 1530820 ,1.1
1-Jul-46, 141388566 , 1460401 ,1.04
1-Jul-47, 144126071 , 2737505 ,1.92
1-Jul-48, 146631302 , 2505231 ,1.72
1-Jul-49, 149188130 , 2556828 ,1.73
1-Jul-50, 152271417 , 3083287 ,2.05
1-Jul-51, 154877889 , 2606472 ,1.7
1-Jul-52, 157552740 , 2674851 ,1.71
1-Jul-53, 160184192 , 2631452 ,1.66
1-Jul-54, 163025854 , 2841662 ,1.76
1-Jul-55, 165931202 , 2905348 ,1.77
1-Jul-56, 168903031 , 2971829 ,1.78
1-Jul-57, 171984130 , 3081099 ,1.81
1-Jul-58, 174881904 , 2897774 ,1.67
1-Jul-59, 177829628 , 2947724 ,1.67
1-Jul-60, 180671158 , 2841530 ,1.59
1-Jul-61, 183691481 , 3020323 ,1.66
1-Jul-62, 186537737 , 2846256 ,1.54
1-Jul-63, 189241798 , 2704061 ,1.44
1-Jul-64, 191888791 , 2646993 ,1.39
1-Jul-65, 194302963 , 2414172 ,1.25
1-Jul-66, 196560338 , 2257375 ,1.16
1-Jul-67, 198712056 , 2151718 ,1.09
1-Jul-68, 200706052 , 1993996 ,1
1-Jul-69, 202676946 , 1970894 ,0.98
1-Jul-70, 205052174 , 2375228 ,1.17
1-Jul-71, 207660677 , 2608503 ,1.26
1-Jul-72, 209896021 , 2235344 ,1.07
1-Jul-73, 211908788 , 2012767 ,0.95
1-Jul-74, 213853928 , 1945140 ,0.91
1-Jul-75, 215973199 , 2119271 ,0.99
1-Jul-76, 218035164 , 2061965 ,0.95
1-Jul-77, 220239425 , 2204261 ,1.01
1-Jul-78, 222584545 , 2345120 ,1.06
1-Jul-79, 225055487 , 2470942 ,1.1
1-Jul-80, 227224681 , 2169194 ,0.96
1-Jul-81, 229465714 , 2241033 ,0.98
1-Jul-82, 231664458 , 2198744 ,0.95
1-Jul-83, 233791994 , 2127536 ,0.91
1-Jul-84, 235824902 , 2032908 ,0.87
1-Jul-85, 237923795 , 2098893 ,0.89
1-Jul-86, 240132887 , 2209092 ,0.92
1-Jul-87, 242288918 , 2156031 ,0.89
1-Jul-88, 244498982 , 2210064 ,0.91
1-Jul-89, 246819230 , 2320248 ,0.94
1-Jul-90, 249464396 , 2645166 ,1.07
1-Jul-91, 252153092 , 2688696 ,1.08
1-Jul-92, 255029699 , 2876607 ,1.14
1-Jul-93, 257782608 , 2752909 ,1.08
1-Jul-94, 260327021 , 2544413 ,0.99
1-Jul-95, 262803276 , 2476255 ,0.95
1-Jul-96, 265228572 , 2425296 ,0.92
1-Jul-97, 267783607 , 2555035 ,0.96
1-Jul-98, 270248003 , 2464396 ,0.92
1-Jul-99, 272690813 , 2442810 ,0.9